date,mid_price
32:49.4,18972.825
32:49.5,18972.95
32:49.6,18973.1
32:49.7,18973.105
32:49.8,18973.105
32:49.9,18973.105
32:50.0,18973.105
32:50.1,18973.105
32:50.2,18973.105
32:50.3,18973.255
32:50.4,18973.76
32:50.5,18973.625
32:50.6,18973.43
32:50.7,18973.415
32:50.8,18973.41
32:50.9,18973.455
32:51.0,18973.415
32:51.1,18973.235
32:51.2,18973.255
32:51.3,18973.28
32:51.4,18973.25
32:51.5,18973.385
32:51.6,18973.385
32:51.7,18973.385
32:51.8,18973.255
32:51.9,18973.12
32:52.0,18972.03
32:52.1,18972.17
32:52.2,18972.49
32:52.3,18972.645
32:52.4,18972.645
32:52.5,18972.65
32:52.6,18972.65
32:52.7,18972.65
32:52.8,18972.65
32:52.9,18973.61
32:53.0,18974.27
32:53.1,18973.96
32:53.2,18973.81
32:53.3,18973.69
32:53.4,18973.545
32:53.5,18973.545
32:53.6,18973.545
32:53.7,18973.545
32:53.8,18973.665
32:53.9,18973.67
32:54.0,18973.67
32:54.1,18973.665
32:54.2,18974.265
32:54.3,18974.375
32:54.4,18974.38
32:54.5,18974.375
32:54.6,18974.37
32:54.7,18974.365
32:54.8,18973.395
32:54.9,18974.025
32:55.0,18974.28
32:55.1,18974.445
32:55.2,18974.45
32:55.3,18974.52
32:55.4,18974.52
32:55.5,18974.575
32:55.6,18974.465
32:55.7,18974.49
32:55.8,18974.505
32:55.9,18974.525
32:56.0,18974.705
32:56.1,18974.69
32:56.2,18974.69
32:56.3,18974.685
32:56.4,18974.355
32:56.5,18974.5
32:56.6,18974.605
32:56.7,18974.325
32:56.8,18974.285
32:56.9,18974.285
32:57.0,18974.525
32:57.1,18974.275
32:57.2,18974.28
32:57.3,18974.27
32:57.4,18974.275
32:57.5,18974.28
32:57.6,18974.28
32:57.7,18973.92
32:57.8,18974.135
32:57.9,18974.135
32:58.0,18974.145
32:58.1,18974.145
32:58.2,18974.155
32:58.3,18974.19
32:58.4,18974.165
32:58.5,18974.315
32:58.6,18974.34
32:58.7,18974.34
32:58.8,18974.345
32:58.9,18974.65
32:59.0,18974.65
32:59.1,18974.655
32:59.2,18974.655
32:59.3,18974.295
32:59.4,18974.34
32:59.5,18974.34
32:59.6,18974.34
32:59.7,18974.34
32:59.8,18974.38
32:59.9,18974.695
33:00.0,18974.695
33:00.1,18974.52
33:00.2,18973.405
33:00.3,18972.85
33:00.4,18972.75
33:00.5,18973.695
33:00.6,18973.695
33:00.7,18973.625
33:00.8,18973.14
33:00.9,18973.135
33:01.0,18973.08
33:01.1,18973.18
33:01.2,18973.165
33:01.3,18973.265
33:01.4,18973.23
33:01.5,18973.24
33:01.6,18973.225
33:01.7,18973.195
33:01.8,18973.27
33:01.9,18973.395
33:02.0,18973.42
33:02.1,18973.415
33:02.2,18973.42
33:02.3,18973.455
33:02.4,18973.405
33:02.5,18973.45
33:02.6,18973.455
33:02.7,18973.575
33:02.8,18973.575
33:02.9,18973.585
33:03.0,18973.585
33:03.1,18973.96
33:03.2,18974.23
33:03.3,18974.28
33:03.4,18974.335
33:03.5,18974.34
33:03.6,18974.365
33:03.7,18973.535
33:03.8,18973.515
33:03.9,18973.5
33:04.0,18973.315
33:04.1,18973.315
33:04.2,18973.48
33:04.3,18973.515
33:04.4,18973.51
33:04.5,18973.51
33:04.6,18973.55
33:04.7,18973.6
33:04.8,18973.62
33:04.9,18973.525
33:05.0,18973.52
